Company Name	Acquired by
3PAR INC	HP
Apeiron	
Auspex Systems	NetApp
Blue Arc	Hitachi Data Systems
COHESITY	
Compaq	HP
Data General	EMC
DATERA	
DDN	
DEC	HP
Dell	
DSSD	EMC
E8	
Elastifile	Google
EMC	Dell
EqualLogic	Dell
Exanet	Dell
Excelero	
Fujitsu	
Fusion-io	Samsung
GlueSys	
Hitachi	
HP	
Huawei	
IBM	
ID7	Fusion-io
Infinidat	
Isilon	EMC
Kaminario	
Lefthand	HP
Likewise	EMC
NEC	
NetApp	
NUTANIX	
Ocarina Networks	Dell
ONStor	LSI -> NetApp
Oracle	
Panasas	
Pavilion Data Systems	
Procom Technology	Sun Microsystems
Pure Storage	
Qumulo	
Reduxio	
Samsung	Western Digital
ScaleIO	EMC
SolidFire	NetApp
Spinnaker Networks	NetApp
StoreCentric	
StorOne	
StorPool Storage	
Sun Microsystems	Oracle
Tintri	DDN
Toshiba Memory America(TMA)	
VAST Data array	
Violin Systems	
WekaIO	
Western Digital	
XIV	IBM
XtreamIO	EMC
